"Standard Report - Imports"
"Current date: 04/27/2026 2:35 PM (Eastern Daylight Time)"
"Country: World Total"
"Commodity";"Time";"Customs Value (Gen) ($US)";"Customs  Value (Cons) ($US)";"Dutiable Value ($US)";"CIF Value (Gen) ($US)";"CIF Value (Cons) ($US)";"Calculated Duty ($US)";"Quantity 1 (Gen)";"Customs Unit Value (Gen)";"Customs Unit Value (Cons)";"Card Count";"Quantity 2 (Cons)";"Quantity 2  (Gen)";"Quantity 1 (Cons)";
"4011 New Pneumatic Tires, Of Rubber";"2006";"8,356,789,547";"8,327,258,021";"5,320,068,260";"8,932,084,971";"8,908,916,413";"209,880,878";"";"";"";"523,567";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2006";"676,995,650";"673,902,717";"422,665,007";"725,640,239";"722,836,031";"16,645,203";"";"";"";"52,560";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2006";"607,496,113";"601,403,050";"373,732,396";"649,601,252";"644,002,627";"14,740,341";"";"";"";"42,110";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2006";"736,845,667";"732,151,760";"465,461,603";"788,273,131";"784,499,972";"18,386,886";"";"";"";"51,150";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2006";"721,845,958";"714,638,109";"461,845,188";"772,719,310";"765,922,162";"18,231,119";"";"";"";"45,100";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2006";"741,907,871";"739,521,416";"468,260,686";"792,454,718";"790,426,779";"18,456,954";"";"";"";"46,696";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2006";"727,989,328";"721,200,126";"464,650,447";"778,233,507";"771,811,775";"18,329,199";"";"";"";"46,442";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2006";"709,677,872";"703,254,880";"467,988,617";"758,668,642";"752,418,198";"18,461,054";"";"";"";"44,209";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2006";"727,095,799";"733,756,832";"476,835,939";"775,160,221";"783,075,698";"18,798,155";"";"";"";"42,132";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2006";"640,439,243";"649,717,959";"416,940,007";"683,663,510";"693,965,900";"16,450,911";"";"";"";"36,213";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2006";"687,601,030";"688,542,256";"432,191,113";"734,644,887";"736,038,899";"17,047,923";"";"";"";"40,662";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2006";"693,504,429";"690,583,589";"439,197,116";"740,861,061";"738,391,689";"17,319,983";"";"";"";"39,614";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2006";"685,390,587";"678,585,327";"430,300,141";"732,164,493";"725,526,683";"17,013,150";"";"";"";"36,679";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2007";"9,065,582,014";"9,017,392,826";"5,859,795,344";"9,691,226,377";"9,651,890,883";"231,355,488";"";"";"";"472,601";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2007";"735,954,951";"734,981,423";"469,839,562";"787,178,166";"786,846,157";"18,564,001";"";"";"";"41,518";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2007";"641,104,375";"641,837,423";"404,764,800";"684,685,394";"686,372,686";"15,979,700";"";"";"";"34,694";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2007";"740,299,632";"732,571,165";"449,539,005";"787,553,742";"780,071,353";"17,746,111";"";"";"";"39,707";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2007";"767,942,809";"765,325,753";"505,457,956";"819,364,084";"817,356,447";"19,956,398";"";"";"";"37,231";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2007";"758,796,715";"758,426,774";"508,898,511";"810,486,271";"811,290,709";"20,095,161";"";"";"";"39,768";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2007";"785,895,481";"782,601,516";"519,054,003";"840,400,397";"837,914,768";"20,499,434";"";"";"";"40,523";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2007";"808,638,654";"797,282,728";"536,433,542";"865,696,780";"854,787,402";"21,182,785";"";"";"";"43,327";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2007";"769,121,086";"768,029,046";"497,474,672";"823,266,659";"823,095,013";"19,635,574";"";"";"";"40,017";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2007";"718,597,442";"714,393,671";"460,806,499";"770,201,529";"766,774,002";"18,194,026";"";"";"";"37,833";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2007";"772,459,336";"777,230,426";"500,514,832";"826,744,698";"832,641,462";"19,759,180";"";"";"";"40,600";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2007";"789,564,945";"779,316,117";"504,988,560";"845,092,510";"835,511,358";"19,949,023";"";"";"";"38,460";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2007";"777,206,588";"765,396,784";"502,023,402";"830,556,147";"819,229,526";"19,794,095";"";"";"";"38,923";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2008";"9,350,124,533";"9,315,762,317";"6,085,089,442";"9,975,064,639";"9,947,048,408";"240,473,550";"";"";"";"446,733";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2008";"751,184,221";"745,235,101";"469,021,960";"800,834,619";"795,597,919";"18,524,094";"";"";"";"40,228";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2008";"732,604,438";"733,102,145";"469,494,395";"779,967,549";"781,313,333";"18,553,901";"";"";"";"36,876";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2008";"815,907,837";"804,389,863";"531,077,013";"869,622,285";"858,469,569";"20,992,312";"";"";"";"41,116";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2008";"850,454,993";"865,854,679";"579,394,751";"906,614,785";"922,926,263";"22,913,917";"";"";"";"40,422";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2008";"823,004,322";"824,282,748";"533,969,710";"876,737,026";"878,796,820";"21,106,466";"";"";"";"40,690";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2008";"796,208,478";"799,143,171";"523,738,694";"849,961,961";"853,769,543";"20,700,885";"";"";"";"37,602";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2008";"777,617,814";"772,716,761";"515,249,467";"831,097,318";"826,098,972";"20,356,768";"";"";"";"38,136";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2008";"758,723,026";"752,403,152";"481,170,181";"809,531,944";"804,887,218";"18,998,463";"";"";"";"37,805";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2008";"798,485,937";"793,934,437";"531,627,264";"854,316,925";"850,413,958";"21,003,439";"";"";"";"36,732";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2008";"793,323,826";"783,012,017";"502,265,709";"846,191,677";"836,093,625";"19,836,462";"";"";"";"35,953";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2008";"754,408,013";"752,523,710";"491,950,321";"805,741,355";"803,671,951";"19,447,408";"";"";"";"32,551";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2008";"698,201,628";"689,164,533";"456,129,977";"744,447,195";"735,009,237";"18,039,435";"";"";"";"28,622";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2009";"7,879,661,520";"7,872,357,144";"4,881,028,782";"8,317,924,597";"8,310,957,412";"258,547,270";"";"";"";"378,174";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2009";"596,163,056";"594,051,910";"375,726,403";"634,821,841";"632,410,883";"14,863,377";"";"";"";"26,730";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2009";"538,736,573";"545,094,493";"312,300,269";"570,470,425";"576,973,698";"12,386,557";"";"";"";"25,671";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2009";"665,483,521";"666,871,265";"425,080,502";"706,605,065";"708,039,431";"16,862,846";"";"";"";"30,643";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2009";"620,832,888";"619,591,253";"395,774,589";"658,496,894";"657,723,543";"15,694,525";"";"";"";"29,779";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2009";"627,809,518";"625,680,314";"395,808,382";"665,889,665";"663,653,559";"15,698,515";"";"";"";"34,832";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2009";"679,433,287";"677,873,139";"425,357,829";"715,497,981";"713,959,477";"16,880,174";"";"";"";"35,690";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2009";"697,095,870";"686,968,838";"471,786,703";"734,876,287";"724,506,582";"18,702,953";"";"";"";"34,502";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2009";"718,892,366";"722,170,798";"464,063,107";"756,109,490";"759,562,260";"18,381,975";"";"";"";"36,379";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2009";"724,036,843";"735,513,001";"465,860,155";"762,002,562";"773,722,486";"20,946,373";"";"";"";"34,834";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2009";"661,465,609";"658,915,160";"369,431,003";"692,781,045";"690,164,396";"31,894,726";"";"";"";"28,672";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2009";"656,065,907";"652,632,571";"369,524,383";"689,784,029";"686,611,568";"33,734,778";"";"";"";"28,795";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2009";"693,646,082";"686,994,402";"410,315,457";"730,589,313";"723,629,529";"42,500,471";"";"";"";"31,647";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2010";"10,334,840,942";"10,287,426,640";"6,467,948,693";"10,971,287,963";"10,923,559,396";"586,273,148";"";"";"";"513,444";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2010";"666,987,903";"665,570,463";"396,401,194";"704,920,042";"703,371,832";"44,093,648";"";"";"";"30,646";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2010";"665,323,617";"666,383,165";"390,990,648";"701,266,123";"702,247,166";"34,636,304";"";"";"";"30,685";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2010";"792,636,813";"796,193,314";"469,337,279";"837,229,738";"843,193,090";"42,418,714";"";"";"";"37,479";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2010";"828,913,883";"825,046,644";"509,934,576";"876,843,385";"872,639,700";"46,150,356";"";"";"";"38,644";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2010";"797,968,485";"794,307,104";"485,343,410";"845,795,212";"841,886,900";"47,242,948";"";"";"";"41,425";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2010";"917,467,359";"921,980,816";"577,915,863";"975,244,851";"979,778,184";"56,442,499";"";"";"";"46,680";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2010";"887,898,612";"875,033,081";"590,231,469";"945,740,236";"932,327,100";"58,247,365";"";"";"";"45,982";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2010";"962,522,748";"949,786,917";"607,605,034";"1,025,775,302";"1,012,577,778";"54,761,029";"";"";"";"46,796";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2010";"938,064,108";"934,876,818";"602,092,899";"999,804,095";"996,430,595";"50,172,466";"";"";"";"49,454";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2010";"929,943,143";"929,038,825";"596,018,411";"989,799,580";"988,831,449";"50,961,744";"";"";"";"47,255";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2010";"969,950,458";"966,053,933";"619,284,512";"1,031,707,651";"1,027,676,562";"50,721,599";"";"";"";"49,665";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2010";"977,163,813";"963,155,560";"622,793,398";"1,037,161,748";"1,022,599,040";"50,424,476";"";"";"";"48,733";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2011";"12,893,036,894";"12,779,167,254";"8,087,993,867";"13,545,655,553";"13,430,078,733";"590,169,951";"";"";"";"603,273";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2011";"939,201,683";"937,996,831";"600,312,796";"996,352,058";"995,150,451";"47,981,642";"";"";"";"47,105";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2011";"919,036,776";"927,307,304";"584,825,030";"971,174,153";"979,967,192";"43,116,803";"";"";"";"43,659";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2011";"1,118,903,596";"1,109,144,225";"695,220,933";"1,178,070,434";"1,168,040,313";"48,754,319";"";"";"";"54,190";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2011";"1,029,950,675";"1,020,124,361";"642,287,600";"1,086,796,167";"1,076,637,159";"52,253,200";"";"";"";"50,825";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2011";"1,109,765,289";"1,095,137,731";"705,645,248";"1,168,392,026";"1,153,158,889";"53,499,397";"";"";"";"51,325";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2011";"1,130,213,407";"1,095,697,155";"699,194,799";"1,187,218,152";"1,152,401,988";"53,781,791";"";"";"";"53,685";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2011";"1,112,584,222";"1,094,605,973";"703,537,084";"1,166,725,948";"1,148,358,413";"51,612,512";"";"";"";"52,612";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2011";"1,155,538,863";"1,162,311,401";"743,801,701";"1,211,560,525";"1,218,632,727";"54,610,907";"";"";"";"50,317";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2011";"1,076,841,698";"1,072,038,154";"668,917,854";"1,128,055,796";"1,123,157,958";"44,553,825";"";"";"";"49,076";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2011";"1,072,464,469";"1,069,249,687";"670,297,515";"1,121,808,364";"1,118,529,238";"46,713,460";"";"";"";"51,662";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2011";"1,107,050,161";"1,106,987,619";"685,998,039";"1,156,970,454";"1,156,780,451";"45,900,790";"";"";"";"49,844";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2011";"1,121,486,055";"1,088,566,813";"687,955,268";"1,172,531,476";"1,139,263,954";"47,391,305";"";"";"";"48,973";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2012";"14,096,460,249";"14,006,412,267";"8,940,512,562";"14,769,482,605";"14,671,118,497";"510,770,763";"";"";"";"658,346";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2012";"1,184,981,910";"1,178,001,404";"734,610,268";"1,241,012,376";"1,234,090,670";"50,784,874";"";"";"";"50,088";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2012";"1,097,738,806";"1,111,201,508";"660,028,816";"1,146,991,780";"1,159,950,190";"42,319,940";"";"";"";"48,497";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2012";"1,233,627,222";"1,236,629,627";"741,228,380";"1,290,361,942";"1,292,606,782";"50,607,168";"";"";"";"56,368";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2012";"1,248,338,768";"1,242,667,303";"774,216,286";"1,308,244,154";"1,301,367,317";"52,101,814";"";"";"";"56,304";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2012";"1,230,563,370";"1,231,158,281";"781,093,507";"1,289,986,997";"1,289,659,104";"55,667,369";"";"";"";"56,603";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2012";"1,220,266,656";"1,202,354,380";"765,362,898";"1,278,150,025";"1,259,651,195";"52,099,729";"";"";"";"54,736";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2012";"1,225,851,046";"1,200,000,766";"799,735,069";"1,286,169,518";"1,259,378,013";"47,759,806";"";"";"";"58,322";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2012";"1,144,982,901";"1,110,884,993";"703,189,805";"1,199,466,555";"1,163,925,415";"38,817,243";"";"";"";"55,808";"";"";""
