Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
Cambodia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5371.94;91323;Item
Cameroon;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5281.84;89791;Item
Bahamas, The;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5258.54;65437;Item
Madagascar;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           4565.58;92725;Item
Congo, Dem. Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           4399.86;;
Sudan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           4296.47;58988;Item
Sierra Leone;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           4293.18;72984;Item
Mongolia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           4252.23;54633;Item
Malta;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           4002.48;122759;Item
Barbados;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3823.73;65003;Item
Haiti;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3772.23;76612.4;Item
Macao;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3761.84;63951;Item
Eswatini;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3553.52;;
Senegal;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3213.15;54623;Item
Benin;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3153.08;64037.7;Item
Belize;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           3094.50;52606;Item
Tajikistan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           2983.32;60590;Item
Gabon;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           2516.19;91783.3;Item
Lesotho;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           2501.90;;
Lao PDR;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           2501.29;42522;Item
Occ.Pal.Terr;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           2469.78;41986;Item
Cape Verde;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1841.29;;
Seychelles;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1743.61;41722.2;Item
Burkina Faso;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1699.13;34508.5;Item
Burundi;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1657.55;39554;Item
Guinea;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1648.20;28019;Item
Suriname;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1611.25;48759;Item
Aruba;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1579.54;26852;Item
St. Lucia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1572.23;26728;Item
Congo, Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1535.33;;
Samoa;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1196.94;26710;Item
Niger;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           1113.33;18927;Item
Solomon Islands;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            981.10;13643;Item
Antigua and Barbuda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            909.50;15462;Item
St. Vincent and the Grenadines;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            904.10;18362;Item
Bermuda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            863.91;24769;Item
Guyana;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            853.05;19389;Item
Togo;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            781.85;15879;Item
Mauritania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            751.15;15255.5;Item
Grenada;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            702.59;14269.3;Item
